timestamp,value
2021-01-01 00:00:00,51
2021-01-01 00:00:01,92
2021-01-01 00:00:02,14
2021-01-01 00:00:03,71
2021-01-01 00:00:04,60
2021-01-01 00:00:05,20
2021-01-01 00:00:06,82
2021-01-01 00:00:07,86
2021-01-01 00:00:08,74
2021-01-01 00:00:09,74
2021-01-01 00:00:10,87
2021-01-01 00:00:11,99
2021-01-01 00:00:12,23
2021-01-01 00:00:13,2
2021-01-01 00:00:14,21
2021-01-01 00:00:15,52
2021-01-01 00:00:16,1
2021-01-01 00:00:17,87
2021-01-01 00:00:18,29
2021-01-01 00:00:19,37
2021-01-01 00:00:20,1
2021-01-01 00:00:21,63
2021-01-01 00:00:22,59
2021-01-01 00:00:23,20
2021-01-01 00:00:24,32
2021-01-01 00:00:25,75
2021-01-01 00:00:26,57
2021-01-01 00:00:27,21
2021-01-01 00:00:28,88
2021-01-01 00:00:29,48
2021-01-01 00:00:30,90
2021-01-01 00:00:31,58
2021-01-01 00:00:32,41
2021-01-01 00:00:33,91
2021-01-01 00:00:34,59
2021-01-01 00:00:35,79
2021-01-01 00:00:36,14
2021-01-01 00:00:37,61
2021-01-01 00:00:38,61
2021-01-01 00:00:39,46
2021-01-01 00:00:40,61
2021-01-01 00:00:41,50
2021-01-01 00:00:42,54
2021-01-01 00:00:43,63
2021-01-01 00:00:44,2
2021-01-01 00:00:45,50
2021-01-01 00:00:46,6
2021-01-01 00:00:47,20
2021-01-01 00:00:48,72
2021-01-01 00:00:49,38
2021-01-01 00:00:50,17
2021-01-01 00:00:51,3
2021-01-01 00:00:52,88
2021-01-01 00:00:53,59
2021-01-01 00:00:54,13
2021-01-01 00:00:55,8
2021-01-01 00:00:56,89
2021-01-01 00:00:57,52
2021-01-01 00:00:58,1
2021-01-01 00:00:59,83
2021-01-01 00:01:00,91
2021-01-01 00:01:01,59
2021-01-01 00:01:02,70
2021-01-01 00:01:03,43
2021-01-01 00:01:04,7
2021-01-01 00:01:05,46
2021-01-01 00:01:06,34
2021-01-01 00:01:07,77
2021-01-01 00:01:08,80
2021-01-01 00:01:09,35
2021-01-01 00:01:10,49
2021-01-01 00:01:11,3
2021-01-01 00:01:12,1
2021-01-01 00:01:13,5
2021-01-01 00:01:14,53
2021-01-01 00:01:15,3
2021-01-01 00:01:16,53
2021-01-01 00:01:17,92
2021-01-01 00:01:18,62
2021-01-01 00:01:19,17
2021-01-01 00:01:20,89
2021-01-01 00:01:21,43
2021-01-01 00:01:22,33
2021-01-01 00:01:23,73
2021-01-01 00:01:24,61
2021-01-01 00:01:25,99
2021-01-01 00:01:26,13
2021-01-01 00:01:27,94
2021-01-01 00:01:28,47
2021-01-01 00:01:29,14
2021-01-01 00:01:30,71
2021-01-01 00:01:31,77
2021-01-01 00:01:32,86
2021-01-01 00:01:33,61
2021-01-01 00:01:34,39
2021-01-01 00:01:35,84
2021-01-01 00:01:36,79
2021-01-01 00:01:37,81
2021-01-01 00:01:38,52
2021-01-01 00:01:39,23
2021-01-01 00:01:40,25
2021-01-01 00:01:41,88
2021-01-01 00:01:42,59
2021-01-01 00:01:43,40
2021-01-01 00:01:44,28
2021-01-01 00:01:45,14
2021-01-01 00:01:46,44
2021-01-01 00:01:47,64
2021-01-01 00:01:48,88
2021-01-01 00:01:49,70
2021-01-01 00:01:50,8
2021-01-01 00:01:51,87
2021-01-01 00:01:52,0
2021-01-01 00:01:53,7
2021-01-01 00:01:54,87
2021-01-01 00:01:55,62
2021-01-01 00:01:56,10
2021-01-01 00:01:57,80
2021-01-01 00:01:58,7
2021-01-01 00:01:59,34
2021-01-01 00:02:00,34
2021-01-01 00:02:01,32
2021-01-01 00:02:02,4
2021-01-01 00:02:03,40
2021-01-01 00:02:04,27
2021-01-01 00:02:05,6
2021-01-01 00:02:06,72
2021-01-01 00:02:07,71
2021-01-01 00:02:08,11
2021-01-01 00:02:09,33
2021-01-01 00:02:10,32
2021-01-01 00:02:11,47
2021-01-01 00:02:12,22
2021-01-01 00:02:13,61
2021-01-01 00:02:14,87
2021-01-01 00:02:15,36
2021-01-01 00:02:16,98
